key,doi,year,venue,citations,questions,ranks,title,abstract
doi:10.5539/jsd.v5n9p106,10.5539/jsd.v5n9p106,2012,,12,q1,q1:25:10.26,Spatial Analysis of High Resolution Aerial Photographs to Analyze the Spread of Mountain Pine Beetle Infestations,"Mountain pine beetle (Dendroctonus Ponderosae) infestations in Western Canada have reached alarming proportions. The spread of attacks has significantly impacted pine tree stocks, the forest ecosystem in general and the overall socio-economic condition of residents in communities that depend on the forest industry. The ability to track these attacks and anticipate their trajectories will allow forest managers to target intervention measures and improve mitigation efforts. Spatial analysis methods are well suited to characterize the dynamics of the mountain pine beetle attacks. This study implemented a multi-scale spatiotemporal analysis to describe the patterns of three consecutive attack years (2000-2002) for a 19 km2 study site in British Columbia, Canada. In the first stage, baseline complete spatial randomness (CSR) was examined using average nearest neighbour analysis and quadrat counts on infestation data extracted from 19 cm resolution black and white aerial photographs. In the second stage, global and local Moran’s I spatial autocorrelation statistics, Getis-Ord General G global high/low clustering and Getis-Ord G_i^* test statistic techniques were used to evaluate the spread patterns over time. The results show a significant clustering of attack sites in the first two years, with considerable changes in the attack spread in the third year. These changes were independent of the two levels of spatial resolution used. Knowledge about infestation patterns can be used to "
doi:10.1093/ee/nvv091,10.1093/ee/nvv091,2015,Environmental Entomology,9,q1,q1:26:10.23,Evaluating Predators and Competitors in Wisconsin Red Pine Forests for Attraction to Mountain Pine Beetle Pheromones for Anticipatory Biological Control,"Mountain pine beetle, Dendroctonus ponderosae Hopkins (Coleoptera: Curculionidae), is an irruptive tree-killing species native to pine forests of western North America. Two potential pathways of spread to eastern forests have recently been identified. First, warming temperatures have driven range expansion from British Columbia into Albertan jack pine forests that are contiguous with the Great Lakes region. Second, high temperatures and drought have fostered largescale outbreaks within the historical range, creating economic incentives to salvage killed timber by transporting logs to midwestern markets, which risks accidental introduction. We evaluated the extent to which local predators and competitors that exploit bark beetle semiochemicals would respond to D. ponderosae in Wisconsin. We emulated D. ponderosae attack by deploying lures containing synthetic aggregation pheromones with and without host tree compounds and blank control traps in six red pine plantations over 2 yr. Predator populations were high in these stands, as evidenced by catches in positive control traps, baited with pheromones of local bark beetles and were deployed distant from behavioral choice plots. Only one predator, Thanasimus dubius F. (Coleoptera: Cleridae) was attracted to D. ponderosae's aggregation pheromones relative to blank controls, and its attraction was relatively weak. The most common bark beetles attracted to these pheromones were lower stem and root colonizers, which likely would faci"
doi:10.26076/61fe-e46a,10.26076/61fe-e46a,2021,Digital Commons - USU (Utah State University),0,q1,q1:27:10.0,"A Spatiotemporal Mountain Pine Beetle Outbreak Model Predicting Severity, Cycle Period, and Invasion Speed","The mountain pine beetle (MPB, Dendroctonus ponderosae), a tree-killing bark beetle, has historically been part of the normal disturbance regime in lodgepole pine (Pinus contorta) forests. In recent years, warm winters and summers have allowed MPB populations to achieve synchronous emergence and successful attacks, resulting in widespread population outbreaks and resultant tree mortality across western North America. We develop an age-structured forest demographic model that incorporates temperature-dependent MPB infestations: the Susceptible-Infested-Juvenile (SIJ) model. Stability of fixed points is analyzed as a function of population growth rates, and indicates the existence of periodic outbreaks that intensify as growth rates increase. We devise analytical methods to predict outbreak severity and duration as well as outbreak return time. To assess the vulnerability of natural resources to climate change, we develop a thermally-driven mechanistic model to predict MPB population growth rates using a distributional model of beetle phenology in conjunction with criteria for successful tree colonization. The model uses projected daily minimum and maximum temperatures for the years 2025 to 2085 generated by three separate global climate models. Growth rates are calculated each year for an area defined by latitude range 42° N to 49° N and longitude range 108° W to 117° W on a Cartesian grid of approximately 4km resolution. Using these growth rates, we analyze how the optimal th"
doi:10.1093/treephys/tps065,10.1093/treephys/tps065,2012,Tree Physiology,75,q1,q1:29:9.43,"Pine terpenoid defences in the mountain pine beetle epidemic and in other conifer pest interactions: specialized enemies are eating holes into a diverse, dynamic and durable defence system","During the last 15 years, an epidemic of mountain pine beetle (MPB; Dendroctonus ponderosae Hopkins) and its associated fungal pathogens (e.g., Grosmannia clavigera Robinson-Jeffrey & R.W. Davidson) has swept through ∼15 million hectares of lodgepole pine (Pinus contorta Douglas) forests in western Canada and has also infested large areas of pine forests in the northwestern USA. The pine-killing symbiosis of MPB and blue-staining fungi has left behind landscapes of dead trees, an economic scramble and the potential for massively increased carbon emissions from decaying trees (Kurz et al. 2008). Fuelled by an overabundance of suitable host trees and following the trail blazed by warming climates, rapidly growing populations of the MPB/fungus complex have continued to defy some traditional predictions as to when and where this epidemic would reach its limits: we now know that the MPB epidemic has spread further north and climbed into higher elevations than predicted (Samarasekera, 2012); it has crossed the Rocky Mountain ‘barrier’ from west to east; and—as recently documented with molecular markers (Cullingham et al. 2011)—the MPB has successfully expanded its eastern host range from lodgepole pine into Jack pine (Pinus banksiana Lamb.). Jack pine has become a frontline host species through which the MPB and its vectored fungal pathogens have gained entrance into a wide landscape of boreal forest east of the Rocky Mountains (Safranyik et al. 2010, Cullingham et al. 2011). Unlik"
doi:10.4039/n05-026,10.4039/n05-026,2005,Canadian Entomologist,28,q1,q1:30:9.34,Effects of fire return rates on traversability of lodgepole pine forests for mountain pine beetle (Coleoptera: Scolytidae) and the use of patch metrics to estimate traversability,"Abstract Monte-Carlo simulation was used to examine the effects of fire return rates on the equilibrium age structure of a one-million-hectare lodgepole pine forest ( Pinus contorta var. latifolia Engelm. ex S. Wats.; Pinaceae) and yielded a mosaic of ages over the one million hectares for each fire regime modelled. These mosaics were used to generate mosaics of susceptibility to mountain pine beetle (MPB) ( Dendroctonus ponderosae Hopkins, 1902) attack. This susceptibility was related to the age distribution to calculate the mean susceptibility of the forest. Susceptibility maps were produced for two timber supply areas in British Columbia, as well as for the whole of B.C. In addition, we defined a quality, called traversability, that describes the ability of a beetle population to disperse across a landscape according to defined rules of susceptibility and maximum distance for dispersal through unsuitable habitat. Using each of 40 combinations of susceptibility classifications and dispersal limits, the landscape was categorized as traversable or non-traversable. This represents the suitability of a landscape to the unimpeded spread of an incipient beetle population. It was found that ( i ) long fire cycles yield an age structure highly susceptible to beetle attack; ( ii ) fire suppression reduces the frequency of fires and yields an age structure highly susceptible to beetle attack; and ( iii ) harvesting one age class reduces the mean susceptibility to MPB attack, and this"
doi:10.1111/j.1365-2656.2008.01389.x,10.1111/j.1365-2656.2008.01389.x,2008,Journal of Animal Ecology,11,q1,q1:32:9.25,Spatial scaling of mountain pine beetle infestations.,"1. The relationship between occupancy and spatial contagion during the spread of eruptive and invasive species demands greater study, as it could lead to improved prediction of ecosystem damage. 2. We applied a recently developed model that links occupancy and its fractal dimension to model the spatial distribution of mountain pine beetle infestations in British Columbia, Canada. We showed that the distribution of infestation was scale-invariant in at least 24 out of 37 years (mostly in epidemic years), and presented some degree of scale-invariance in the rest. There was a general logarithmic relationship between fractal dimension and infestation occupancy. Based on the scale-invariance assumption, we further assessed the interrelationships for several landscape metrics, such as correlation length, maximum cluster size, total edge length and total number of clusters. 3. The scale-invariance assumption allows fitting the above metrics, and provides a framework to establish the scaling relationship between occupancy and spatial contagion. 4. We concluded that scale-invariance dominates the spread of mountain pine beetle. In this context, spatial aggregation can be predicted from occupancy, hence occupancy is the only variable one needs to know in order to predict the spatial distributions of populations. This supports the hypothesis that fractal dispersal kernels may be abundant among outbreaks of pests and invasive species."
doi:10.1002/eap.70270,10.1002/eap.70270,2026,Ecological Applications,0,q1,q1:33:9.0,"Spatial and temporal patterns of bark beetle and defoliator outbreaks, and their interactions, in the Pacific Northwest","Abstract The dynamics of many forest insects are changing in response to climate warming; however, patterns are not always consistent among or within taxa. Changes in outbreak dynamics for individual species have received much recent attention, but the potential for interactions among species has received less. With climate‐mediated shifts in the outbreaks of individual species, it is probable that changes in interactions between and among species will follow. We used historical aerial survey data (1960–2019) from conifer‐dominated forests of Oregon, Washington, and British Columbia to quantify spatial dynamics of bark beetles, defoliators, and their interactions across local and regional scales and to measure how these dynamics have changed through time. We identified common patterns of increasing spatial autocorrelation through time for insect species that inhabit higher latitudes and elevations (mountain pine beetle, spruce beetle, western balsam bark beetle, and 2‐year cycle budworm), suggesting that regional warming is likely a main driver of these landscape scale changes. We also observed greater spatial overlap of bark beetle and defoliator outbreaks in more recent decades, particularly in historically colder ecosystems at higher elevations and latitudes. However, these patterns were also observed in more temperate forests, most notably in spatial overlap among Douglas‐fir beetle, western spruce budworm, and Douglas‐fir tussock moth. Increases in overlapping disturbanc"
doi:10.20381/ruor-5425,10.20381/ruor-5425,2016,uO Research (University of Ottawa),0,q1,q1:34:9.0,Wildfire Management in the Southside Region of Canada’s Montane Cordillera - A Systems Modelling Application on Firebreak Strategies,"There is growing recognition of the importance of preserving Canada’s forests. Canada’s 348 million hectares of forest land cover 35% of its land area, representing 9% of the world’s forests and 24% of the world’s boreal forests. As a renewable resource, forests offer significant environmental, economic and recreational benefits and innumerable services contributing to the quality of life. Canada has recently entered an era of increased frequency and severity of natural disasters. Ecosystems and communities especially in western Canada have recently undergone a trend of increasing pressures from natural disturbances. These disturbances include wildfires associated with increased fuel load levels from past fire suppression regimes and a widely spread infestation of the mountain pine beetle in addition to changes in weather patterns. Wildfire activity has reached extreme levels in many of the recent years. This thesis profiles an area of western Canada within the Montane Cordillera covering the Nechako Lakes Electoral District in central British Columbia and assesses its vulnerability to the specific hazard of wildfires caused by natural and man-made sources. The objectives of this research are to review, simulate and assess the impact of various fuel management strategies in a sub-section of the Nechako Lakes Electoral District called the Southside. Values at risk include private property and old growth forest in respectively timber supply areas, provincial parks, woodlots and"
doi:10.1139/x00-020,10.1139/x00-020,2000,Canadian Journal of Forest Research,92,q1,q1:37:8.45,Distribution and severity of white pine blister rust and mountain pine beetle on whitebark pine in British Columbia,"A major decline in the abundance of whitebark pine (Pinus albicaulis Engelm.) has recently occurred in the United States, primarily as a result of white pine blister rust (Cronartium ribicola J.C. Fisch. ex Raben.). However, no information on the status of whitebark pine in British Columbia, Canada, was available. We sampled 54 subalpine stands in British Columbia, examining all whitebark pine trees within plots for evidence of blister rust and mountain pine beetle (Dendroctonus ponderosae Hopk.) damage. About 21% of all whitebark pine stems were dead, and blister rust was the most important agent of mortality. Of all living trees sampled, 27% had obvious blister rust infection (cankers), but actual incidence was suspected of being as high as 44% (using all evidence of blister rust). Blister rust incidence and whitebark pine mortality were significantly related to differences in stand structure and the presence of Ribes spp., but relationships with local climate and site variables were absent or weak. The lack of strong relationships with climate suggests favourable conditions for the spread of the disease throughout most of British Columbia. Very little evidence of mountain pine beetle was found. Overall, the prospects for whitebark pine in British Columbia do not appear good; a large reduction in population levels seems imminent."
doi:10.1073/pnas.1615263113,10.1073/pnas.1615263113,2016,Proceedings of the National Academy of Sciences of the United States of America,80,q1,q1:38:8.44,Spatial variability in tree regeneration after wildfire delays and dampens future bark beetle outbreaks,"Climate change is altering the frequency and severity of forest disturbances such as wildfires and bark beetle outbreaks, thereby increasing the potential for sequential disturbances to interact. Interactions can amplify or dampen disturbances, yet the direction and magnitude of future disturbance interactions are difficult to anticipate because underlying mechanisms remain poorly understood. We tested how variability in postfire forest development affects future susceptibility to bark beetle outbreaks, focusing on mountain pine beetle (Dendroctonus ponderosae) and Douglas-fir beetle (Dendroctonus pseudotsugae) in forests regenerating from the large high-severity fires that affected Yellowstone National Park in Wyoming in 1988. We combined extensive field data on postfire tree regeneration with a well-tested simulation model to assess susceptibility to bark beetle outbreaks over 130 y of stand development. Despite originating from the same fire event, among-stand variation in forest structure was very high and remained considerable for over a century. Thus, simulated emergence of stands susceptible to bark beetles was not temporally synchronized but was protracted by several decades, compared with stand development from spatially homogeneous regeneration. Furthermore, because of fire-mediated variability in forest structure, the habitat connectivity required to support broad-scale outbreaks and amplifying cross-scale feedbacks did not develop until well into the second centur"
doi:10.1093/forestry/cpv042,10.1093/forestry/cpv042,2016,,75,q1,q1:39:8.43,The economic impact of the mountain pine beetle infestation in British Columbia: provincial estimates from a CGE analysis,"The mountain pine beetle (MPB) epidemic in British Columbia (BC) peaked in 2004 and 2005, and by 2012, >53 per cent of the merchantable pine had been attacked. The annual kill has declined steadily since 2005 and is projected to continue to do so. However, given the significant amount of beetle killed wood, the timber supply is expected to fall dramatically in the coming decades. This study estimates the future provincial economic impacts of the MPB infestation in a dynamic computable general equilibrium (CGE) model, by examining the effects of the reduction in timber supply from BC forests over the 2009–2054 period. Results suggest that there will be a cumulative present value loss of $57.37 billion (or 1.34 per cent) in GDP and a $90 billion decline in welfare (compensating variation) from 2009 to 2054 in BC. These estimates emphasize the significance of negative economic impacts that may be in store for the economy in this, and potentially other provinces, and can be used to help policy-makers better understand the net benefits of adaptation options geared towards reducing the spread of such pests."
doi:10.1890/11-1055.1,10.1890/11-1055.1,2012,Ecology,182,q1,q1:3:13.52,Spatiotemporal patterns of mountain pine beetle activity in the southern Rocky Mountains.,"The current mountain pine beetle (MPB; Dendroctonus ponderosae) outbreak in the southern Rocky Mountains has impacted approximately 750 000 ha of forest. Weather and habitat heterogeneity influence forest insect population dynamics at multiple spatial and temporal scales. Comparison of forest insect population dynamics in two principal host species may elucidate the relative contribution of weather and landscape factors in initiating and driving extensive outbreaks. To investigate potential drivers of the current MPB outbreak, we compared broadscale spatiotemporal patterns of MPB activity in lodgepole pine (Pinus contorta) and ponderosa pine (Pinus ponderosa) from 1996 to 2010 in Colorado and southern Wyoming with regional weather fluctuations, and then tracked the annual meso-scale progression of the epidemic in lodgepole pine with respect to weather, topographic, previous MPB activity, and forest stand attributes. MPB activity in lodgepole pine compared to ponderosa pine showed higher magnitude and extent of spatial synchrony. Warm temperatures and low annual precipitation favorable to beetle populations showed high regional synchrony across areas of both pine species, suggesting that habitat interacts with weather in synchronizing MPB populations. Cluster analysis of time series patterns identified multiple, disjunct locations of incipient MPB activity (epicenters) in lodgepole pine, which overlapped an earlier 1980s MPB outbreak, and suggests a regional trigger (drought) "
doi:10.5589/m08-073,10.5589/m08-073,2008,,19,q1,q1:42:8.3,Initialization of an insect infestation spread model using tree structure and spatial characteristics derived from high spatial resolution digital aerial imagery,"High spatial resolution digital aerial imagery has demonstrated the capacity to enable the derivation of a range of parameters describing the structural characteristics of individual trees and spatial attributes of forest stands. As a result, these data have the potential to provide important information to help initialize models of insect infestations, in particular models addressing the spread of mountain pine beetle, Dendroctonus ponderosae (Hopk.), which has reached epidemic levels within western Canada. In support of this study, ground data and images with 10 cm spatial resolution were collected over a study area straddling the borders of British Columbia and Alberta, Canada, which is experiencing infestation by mountain pine beetles. Images were processed using an object-based classification algorithm, which correctly identified between 50% and 100% (mean 80.2%) of the tree crowns detected on the imagery relative to field-measured tree locations. Unidentified tree crowns primarily included trees with small crown and stem diameters which are less susceptible to infestation by mountain pine beetles. Following accurate identification of tree locations, parameters for stem diameter and stocking density were derived from the imagery and compared with measurements derived from ground survey data. Results indicate that two image-derived individual tree parameters were correlated sufficiently with ground measures to act as model inputs, namely stocking density (r2 = 0.91, stand"
doi:10.1080/07038992.2016.1220828,10.1080/07038992.2016.1220828,2016,,14,q1,q1:43:8.27,Using Landsat to Assess the Relationship Between Spatiotemporal Patterns of Western Spruce Budworm Outbreaks and Regional-Scale Weather Variability,". Western spruce budworm is a defoliator of coniferous forests of North America. Past research has shown that climate is a principal driver of budworm outbreaks, though the underlying relationships are not well understood. We utilized Landsat time series to investigate the relationships between spatiotemporal patterns of budworm outbreaks and weather variability. Landsat-based maps of budworm infestations from (1995–2013) were produced and used to describe patterns of the most recent budworm outbreak in British Columbia. Superposed epoch and regression analysis were used to explore relationships between outbreak patterns and annual temperature and precipitation anomalies. We found that western spruce budworm outbreaks were preceded by autumn precipitation deficits that were 12% lower than the long-term average, and co-occurred with summer precipitation up to 20% below the long-term average. Spring temperatures shortly before outbreaks were 0.7°C lower than normal, whereas winter temperatures during outbreaks were above average by 0.5°C. We concluded that the most recent outbreak of western spruce budworm in British Columbia co-occurred with distinct weather patterns that probably facilitated budworm population development and synchronized host-herbivore phenology. Although Landsat has been used to map insect disturbances, our study demonstrated its usefulness for understanding landscape- to regional-scale drivers of budworm outbreaks."
doi:10.1139/cjfr-30-7-1051,10.1139/cjfr-30-7-1051,2000,Canadian Journal of Forest Research,14,q1,q1:44:8.27,Distribution and severity of white pine blister rust and mountain pine beetle on whitebark pine in British Columbia,"A major decline in the abundance of whitebark pine (Pinus albicaulis Engelm.) has recently occurred in the United States, primarily as a result of white pine blister rust (Cronartium ribicola J.C. Fisch. ex Raben.). However, no information on the status of whitebark pine in British Columbia, Canada, was available. We sampled 54 subalpine stands in British Columbia, examining all whitebark pine trees within plots for evidence of blister rust and mountain pine beetle (Dendroctonus ponderosae Hopk.) damage. About 21% of all whitebark pine stems were dead, and blister rust was the most important agent of mortality. Of all living trees sampled, 27% had obvious blister rust infection (cankers), but actual incidence was suspected of being as high as 44% (using all evidence of blister rust). Blister rust incidence and whitebark pine mortality were significantly related to differences in stand structure and the presence of Ribes spp., but relationships with local climate and site variables were absent or weak. The lack of strong relationships with climate suggests favourable conditions for the spread of the disease throughout most of British Columbia. Very little evidence of mountain pine beetle was found. Overall, the prospects for whitebark pine in British Columbia do not appear good; a large reduction in population levels seems imminent."
